ID,HOSTNAME,IP,STATUS,SOURCE,GCP
21,server21,192.168.1.30,Active,Internal,Yes
22,server22,192.168.1.31,Inactive,External,No
23,server23,192.168.2.32,Active,Internal,Yes
24,server24,192.168.3.33,Active,External,No
25,server25,192.168.4.34,Inactive,Internal,Yes
26,server26,192.168.3.35,Active,External,No
27,server27,192.168.4.36,Inactive,Internal,Yes
28,server28,192.168.2.37,Active,External,No
29,server29,192.168.4.38,Inactive,Internal,Yes
30,server30,192.168.3.39,Active,External,No
31,server31,192.168.2.40,Inactive,Internal,Yes
32,server32,192.168.4.41,Active,External,No
33,server33,192.168.1.42,Active,Internal,Yes
34,server34,192.168.2.43,Inactive,External,No
35,server35,192.168.1.44,Active,Internal,Yes
36,server36,192.168.5.45,Active,External,No
37,server37,192.168.6.46,Inactive,Internal,Yes
38,server38,192.168.5.47,Active,External,No
39,server39,192.168.6.48,Inactive,Internal,Yes
40,server40,192.168.1.49,Active,External,No
